date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:57	81644/81644	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2005:00:22%20GMT	https://themes.pixelstrap.net/mega_bot/html/index.html	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/html/index.html	(from )
17:34:57	796/796	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202024%2012:34:58%20GMT	https://themes.pixelstrap.net/robots.txt		(from )
17:34:58	2415/2415	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Jun%202023%2000:25:38%20GMT	https://themes.pixelstrap.net/mega_bot/assets/images/favicon.png	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/assets/images/favicon.png	(from https://themes.pixelstrap.net/mega_bot/html/index.html)
17:34:58	254369/254369	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2004:11:08%20GMT	https://themes.pixelstrap.net/mega_bot/assets/css/vendors/bootstrap.css	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/assets/css/vendors/bootstrap.css	(from https://themes.pixelstrap.net/mega_bot/html/index.html)
17:34:59	110510/110510	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2005:37:13%20GMT	https://themes.pixelstrap.net/mega_bot/assets/css/vendors/remixicon.css	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/assets/css/vendors/remixicon.css	(from https://themes.pixelstrap.net/mega_bot/html/index.html)
17:34:59	445/445	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20May%202023%2004:09:27%20GMT	https://themes.pixelstrap.net/mega_bot/assets/css/vendors/iconsax.css	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/assets/css/vendors/iconsax.css	(from https://themes.pixelstrap.net/mega_bot/html/index.html)
17:34:59	41175/41175	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Jun%202023%2005:50:55%20GMT	https://themes.pixelstrap.net/mega_bot/assets/css/vendors/aos.css	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/assets/css/vendors/aos.css	(from https://themes.pixelstrap.net/mega_bot/html/index.html)
17:35:00	16469/16469	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Nov%202022%2011:59:21%20GMT	https://themes.pixelstrap.net/mega_bot/assets/css/vendors/swiper-bundle.min.css	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/assets/css/vendors/swiper-bundle.min.css	(from https://themes.pixelstrap.net/mega_bot/html/index.html)
17:35:01	55035/55035	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Jun%202023%2006:57:48%20GMT	https://themes.pixelstrap.net/mega_bot/html/chat.html	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/html/chat.html	(from https://themes.pixelstrap.net/mega_bot/html/index.html)
17:35:01	168001/168001	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Jun%202023%2005:50:55%20GMT	https://themes.pixelstrap.net/mega_bot/assets/css/style.css	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/assets/css/style.css	(from https://themes.pixelstrap.net/mega_bot/html/index.html)
17:35:01	7695/7695	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2003:49:35%20GMT	https://themes.pixelstrap.net/mega_bot/html/404.html	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/html/404.html	(from https://themes.pixelstrap.net/mega_bot/html/index.html)
17:35:01	10014/10014	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2003:50:10%20GMT	https://themes.pixelstrap.net/mega_bot/html/login.html	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/html/login.html	(from https://themes.pixelstrap.net/mega_bot/html/index.html)
17:35:02	4402/4402	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2003:50:24%20GMT	https://themes.pixelstrap.net/mega_bot/html/reset-password.html	C:/My%20Web%20Sites/xavor_final_landing_page/themes.pixelstrap.net/mega_bot/html/reset-password.html	(from https://themes.pixelstrap.net/mega_bot/html/index.html)
